PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
16,8192,131072,4,0,148.0,0.0
16,8192,131072,4,1,147.32999999999998,0.056229
16,8192,524288,1,0,144.13,0.0
16,8192,524288,1,1,143.53,0.012312
16,8192,524288,2,0,147.0,0.0
16,8192,524288,2,1,144.15,0.012141
16,8192,524288,4,0,149.07,0.0
16,8192,524288,4,1,147.97,0.012404
16,8192,1048576,1,0,142.91,0.0
16,8192,1048576,1,1,144.91,0.001396
16,8192,1048576,2,0,144.22,0.0
16,8192,1048576,2,1,140.03,0.001384
16,8192,1048576,4,0,141.93,0.0
16,8192,1048576,4,1,137.06,0.001413
16,8192,4194304,1,0,118.85,0.0
16,8192,4194304,1,1,135.67,0.004183
16,8192,4194304,2,0,134.92,0.0
16,8192,4194304,2,1,124.21,0.004296
16,8192,4194304,4,0,122.72,0.0
16,8192,4194304,4,1,125.44,0.004201
16,8192,16777216,1,0,96.18,0.0
16,8192,16777216,1,1,113.06,0.000639
16,8192,16777216,2,0,132.42,0.0
16,8192,16777216,2,1,97.9,0.000576
16,8192,16777216,4,0,132.33,0.0
16,8192,16777216,4,1,118.52000000000001,0.000622
16,16384,4096,1,0,686.3,0.0
16,16384,4096,1,1,928.32,3.432896
16,16384,4096,2,0,696.56,0.0
16,16384,4096,2,1,892.6,3.511391
16,16384,4096,4,0,689.81,0.0
16,16384,4096,4,1,797.18,3.52121
16,16384,131072,1,0,564.89,0.0
16,16384,131072,1,1,531.66,0.179667
16,16384,131072,2,0,564.52,0.0
16,16384,131072,2,1,543.54,0.190119
16,16384,131072,4,0,575.2,0.0
16,16384,131072,4,1,547.13,0.229161
16,16384,524288,1,0,573.22,0.0
16,16384,524288,1,1,484.73,0.058671
16,16384,524288,2,0,579.3,0.0
16,16384,524288,2,1,485.05,0.057027
16,16384,524288,4,0,567.99,0.0
16,16384,524288,4,1,474.98,0.061224
16,16384,1048576,1,0,512.02,0.0
16,16384,1048576,1,1,485.25,0.028464
16,16384,1048576,2,0,553.6,0.0
16,16384,1048576,2,1,477.77,0.028051
16,16384,1048576,4,0,504.49,0.0
16,16384,1048576,4,1,479.40999999999997,0.031148
16,16384,4194304,1,0,467.34000000000003,0.0
16,16384,4194304,1,1,518.65,0.002372
16,16384,4194304,2,0,529.88,0.0
16,16384,4194304,2,1,465.87,0.002366
16,16384,4194304,4,0,470.61,0.0
16,16384,4194304,4,1,475.36,0.002277
16,16384,16777216,1,0,461.15,0.0
16,16384,16777216,1,1,467.2,0.004466
16,16384,16777216,2,0,484.32,0.0
16,16384,16777216,2,1,475.65,0.004264
16,16384,16777216,4,0,490.81,0.0
16,16384,16777216,4,1,506.22,0.004757
