PROC,LOAD,READSIZE,TIMESPFETCH,PRED,nobg_Elapsed,nobg_READAHEAD_TIME,bg_Elapsed,bg_READAHEAD_TIME
4,8192,524288,4,0,150.22,0.0,152.85,0.0
4,8192,524288,4,1,151.72,1.029943,152.47,0.067865
4,8192,1048576,1,0,143.61,0.0,145.06,0.0
4,8192,1048576,1,1,149.09,0.717328,145.31,0.028541
4,8192,1048576,2,0,149.34,0.0,146.4,0.0
4,8192,1048576,2,1,145.69,0.696561,144.36,0.029767
4,8192,1048576,4,0,151.32999999999998,0.0,150.86,0.0
4,8192,1048576,4,1,151.38,0.708222,150.7,0.029502
4,8192,4194304,1,0,143.34,0.0,141.12,0.0
4,8192,4194304,1,1,141.71,0.002672,145.35,0.002532
4,8192,4194304,2,0,140.86,0.0,142.47,0.0
4,8192,4194304,2,1,142.89,0.002583,141.71,0.002648
4,8192,4194304,4,0,150.53,0.0,148.41,0.0
4,8192,4194304,4,1,149.9,0.002648,145.07999999999998,0.002494
4,8192,16777216,1,0,143.85,0.0,145.3,0.0
4,8192,16777216,1,1,145.38,0.066989,151.2,0.004931
4,8192,16777216,2,0,143.81,0.0,144.13,0.0
4,8192,16777216,2,1,143.29,0.075467,143.69,0.004558
4,8192,16777216,4,0,146.23,0.0,142.26,0.0
4,8192,16777216,4,1,143.5,0.06621,145.47,0.00465
4,16384,4096,1,0,914.47,0.0,918.4,0.0
4,16384,4096,1,1,1010.03,188.825605,1008.85,12.000688
4,16384,4096,2,0,907.33,0.0,934.01,0.0
4,16384,4096,2,1,947.14,172.557098,953.88,12.143953
4,16384,4096,4,0,895.28,0.0,919.69,0.0
4,16384,4096,4,1,856.52,94.318238,858.81,12.96601
4,16384,131072,1,0,663.97,0.0,651.28,0.0
4,16384,131072,1,1,612.73,151.496908,607.9,0.628155
4,16384,131072,2,0,670.02,0.0,656.03,0.0
4,16384,131072,2,1,614.54,142.862735,620.2,0.659269
4,16384,131072,4,0,672.79,0.0,660.42,0.0
4,16384,131072,4,1,620.02,88.891754,612.56,0.770769
4,16384,524288,1,0,610.29,0.0,604.93,0.0
4,16384,524288,1,1,596.67,99.150723,536.31,0.226826
4,16384,524288,2,0,610.0,0.0,599.09,0.0
4,16384,524288,2,1,561.95,53.80378,593.03,0.230133
4,16384,524288,4,0,613.17,0.0,605.85,0.0
4,16384,524288,4,1,584.98,76.688643,591.98,0.229331
4,16384,1048576,1,0,593.62,0.0,588.92,0.0
4,16384,1048576,1,1,577.82,24.383564,591.27,0.126916
4,16384,1048576,2,0,600.65,0.0,599.79,0.0
4,16384,1048576,2,1,539.25,18.104065,589.41,0.13375
4,16384,1048576,4,0,603.56,0.0,602.94,0.0
4,16384,1048576,4,1,583.18,24.720705,589.22,0.122249
4,16384,4194304,1,0,586.73,0.0,583.13,0.0
4,16384,4194304,1,1,594.71,1.08779,583.31,0.046558
4,16384,4194304,2,0,598.76,0.0,591.61,0.0
4,16384,4194304,2,1,577.34,1.047641,591.49,0.049153
4,16384,4194304,4,0,579.59,0.0,585.3,0.0
4,16384,4194304,4,1,591.42,1.098124,591.7,0.050676
4,16384,16777216,1,0,582.28,0.0,584.54,0.0
4,16384,16777216,1,1,585.77,0.001467,581.09,0.001346
4,16384,16777216,2,0,553.95,0.0,581.5,0.0
4,16384,16777216,2,1,589.12,0.001515,581.62,0.001428
4,16384,16777216,4,0,558.19,0.0,577.16,0.0
4,16384,16777216,4,1,561.81,0.001499,585.01,0.00137
16,4096,4096,1,0,41.56,0.0,44.29,0.0
16,4096,4096,1,1,58.02,23.566488,58.98,0.217636
16,4096,4096,2,0,43.62,0.0,41.94,0.0
16,4096,4096,2,1,55.37,17.327565,53.5,0.220378
16,4096,4096,4,0,43.69,0.0,42.33,0.0
16,4096,4096,4,1,47.07,10.015892,50.52,0.230536
16,4096,131072,1,0,36.37,0.0,38.25,0.0
16,4096,131072,1,1,41.6,0.048094,38.93,0.01125
16,4096,131072,2,0,35.12,0.0,38.44,0.0
16,4096,131072,2,1,42.03,0.054828,36.52,0.010467
16,4096,131072,4,0,37.84,0.0,35.21,0.0
16,4096,131072,4,1,37.75,0.068993,37.46,0.010482
16,4096,524288,1,0,34.13,0.0,37.15,0.0
16,4096,524288,1,1,36.55,0.000999,35.35,0.000919
16,4096,524288,2,0,34.58,0.0,37.69,0.0
16,4096,524288,2,1,39.05,0.001043,33.76,0.000864
16,4096,524288,4,0,33.63,0.0,34.14,0.0
16,4096,524288,4,1,33.47,0.000947,36.44,0.000902
16,4096,1048576,1,0,36.74,0.0,37.04,0.0
16,4096,1048576,1,1,37.37,0.06113,33.93,0.003325
16,4096,1048576,2,0,34.07,0.0,36.73,0.0
16,4096,1048576,2,1,38.66,0.064928,34.36,0.003475
16,4096,1048576,4,0,34.61,0.0,35.97,0.0
16,4096,1048576,4,1,39.2,0.061105,38.26,0.003836
16,4096,4194304,1,0,37.14,0.0,33.17,0.0
16,4096,4194304,1,1,36.74,0.008458,32.1,0.00061
16,4096,4194304,2,0,37.82,0.0,36.7,0.0
16,4096,4194304,2,1,39.09,0.009095,35.86,0.000632
16,4096,4194304,4,0,39.32,0.0,35.16,0.0
16,4096,4194304,4,1,38.82,0.008876,35.16,0.000538
16,4096,16777216,1,0,36.37,0.0,34.79,0.0
16,4096,16777216,1,1,38.0,0.009572,35.19,0.000566
16,4096,16777216,2,0,37.44,0.0,37.65,0.0
16,4096,16777216,2,1,39.08,0.008217,36.73,0.000613
16,4096,16777216,4,0,37.91,0.0,37.4,0.0
16,4096,16777216,4,1,36.06,0.009329,34.07,0.000602
16,8192,4096,1,0,169.11,0.0,173.05,0.0
16,8192,4096,1,1,233.18,101.01339,227.42000000000002,0.914245
16,8192,4096,2,0,167.88,0.0,170.07999999999998,0.0
16,8192,4096,2,1,219.36,77.714698,219.42000000000002,0.920273
16,8192,4096,4,0,173.05,0.0,176.57999999999998,0.0
16,8192,4096,4,1,188.28,43.021214,196.61,0.951587
