PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
1,8192,131072,4,1,181.64,17.018856

1,8192,524288,1,0,197.89,0.0
1,8192,524288,1,1,167.03,2.872308
1,8192,524288,2,0,196.8,0.0
1,8192,524288,2,1,167.13,3.205909
1,8192,524288,4,0,196.53,0.0
1,8192,524288,4,1,167.15,3.31556

1,8192,1048576,1,0,187.3,0.0
1,8192,1048576,1,1,164.53,2.353776
1,8192,1048576,2,0,187.26,0.0
1,8192,1048576,2,1,162.84,2.431805
1,8192,1048576,4,0,187.63,0.0
1,8192,1048576,4,1,166.33,2.476372

1,8192,4194304,1,0,165.41,0.0
1,8192,4194304,1,1,169.89,0.62644
1,8192,4194304,2,0,164.74,0.0
1,8192,4194304,2,1,166.68,0.613305
1,8192,4194304,4,0,166.26,0.0
1,8192,4194304,4,1,173.9,0.62035

1,8192,16777216,1,0,163.72,0.0
1,8192,16777216,1,1,165.79,0.001576
1,8192,16777216,2,0,165.25,0.0
1,8192,16777216,2,1,163.73,0.001535
1,8192,16777216,4,0,165.49,0.0
1,8192,16777216,4,1,166.35,0.001561

#########################################

4,4096,4096,1,0,56.19,0.0
4,4096,4096,1,1,64.8,14.411663
4,4096,4096,2,0,60.04,0.0
4,4096,4096,2,1,61.13,12.024954
4,4096,4096,4,0,55.93,0.0
4,4096,4096,4,1,54.51,5.704536

4,4096,131072,1,0,42.8,0.0
4,4096,131072,1,1,36.95,0.293171
4,4096,131072,2,0,42.31,0.0
4,4096,131072,2,1,39.81,0.315004
4,4096,131072,4,0,40.21,0.0
4,4096,131072,4,1,37.43,0.313509

4,4096,524288,1,0,38.69,0.0
4,4096,524288,1,1,40.64,0.100308
4,4096,524288,2,0,38.19,0.0
4,4096,524288,2,1,37.49,0.092257
4,4096,524288,4,0,37.63,0.0
4,4096,524288,4,1,38.22,0.106089

4,4096,1048576,1,0,39.43,0.0
4,4096,1048576,1,1,39.53,0.001681
4,4096,1048576,2,0,40.18,0.0
4,4096,1048576,2,1,34.93,0.00175
4,4096,1048576,4,0,39.38,0.0
4,4096,1048576,4,1,34.93,0.001812

4,4096,4194304,1,0,36.68,0.0
