"Function / Call Stack","CPU Time","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Function (Full)","Source File","Start Address"
"migrate_task_rq_fair","0.00300723","0","","0.333333","vmlinux","migrate_task_rq_fair","[Unknown]","0xffffffff810beda0"
"___slab_alloc","0.00300723","0","","1.66667","vmlinux","___slab_alloc","[Unknown]","0xffffffff8122e660"
"func@0x420be0","0.00300723","0","","0.666667","sysbench","func@0x420be0","[Unknown]","0x420be0"
"func@0x437a42","0.00300723","0","","0.666667","sysbench","func@0x437a42","[Unknown]","0x437a42"
"func@0x22a08","0.00300723","0","","0.333333","libmysqlclient.so.20.3.10","func@0x22a08","[Unknown]","0x22a08"
"flush_smp_call_function_queue","0.00300723","0","0","0","vmlinux","flush_smp_call_function_queue","[Unknown]","0xffffffff81115550"
"mysql_store_result","0.00300723","0","","0.333333","libmysqlclient.so.20.3.10","mysql_store_result","[Unknown]","0x2f490"
"__kmalloc_reserve.isra.41","0.00300723","0","","0.333333","vmlinux","__kmalloc_reserve.isra.41","[Unknown]","0xffffffff817b6dc0"
"func@0x42ef10","0.00300723","0","","0.666667","sysbench","func@0x42ef10","[Unknown]","0x42ef10"
"vmacache_find","0.00300723","0","","1.33333","vmlinux","vmacache_find","[Unknown]","0xffffffff811f1210"
"apic_timer_interrupt","0.00300723","0","","1","vmlinux","apic_timer_interrupt","[Unknown]","0xffffffff81a01a10"
"func@0x443110","0.00300723","0","0","0","sysbench","func@0x443110","[Unknown]","0x443110"
"mem_cgroup_from_task","0.00300723","2600000","0","0","vmlinux","mem_cgroup_from_task","[Unknown]","0xffffffff81242a10"
"func@0x2435e","0.00300723","0","","0.333333","libmysqlclient.so.20.3.10","func@0x2435e","[Unknown]","0x2435e"
"func@0x4502c0","0.00300723","2600000","0","0","sysbench","func@0x4502c0","[Unknown]","0x4502c0"
"decay_load","0.00300723","7800000","0.666667","0.666667","vmlinux","decay_load","[Unknown]","0xffffffff810b5740"
"func@0x437cf4","0.00300723","7800000","1.33333","1.33333","sysbench","func@0x437cf4","[Unknown]","0x437cf4"
"interrupt_entry","0.00300723","0","0","0","vmlinux","interrupt_entry","[Unknown]","0xffffffff81a00880"
"__default_send_IPI_dest_field","0.00300723","0","","1","vmlinux","__default_send_IPI_dest_field","[Unknown]","0xffffffff810549b0"
"copy_page","0.00300723","0","","1.33333","vmlinux","copy_page","[Unknown]","0xffffffff818fb830"
"llist_add_batch","0.00300723","0","0","0","vmlinux","llist_add_batch","[Unknown]","0xffffffff8145c130"
"default_send_IPI_mask_sequence_phys","0.00200482","0","0","0","vmlinux","default_send_IPI_mask_sequence_phys","[Unknown]","0xffffffff81054a60"
"func@0x43b930","0.00200482","0","0","0","sysbench","func@0x43b930","[Unknown]","0x43b930"
"vma_merge","0.00200482","0","0","0","vmlinux","vma_merge","[Unknown]","0xffffffff81201790"
"perf_event_mmap","0.00200482","0","0","0","vmlinux","perf_event_mmap","[Unknown]","0xffffffff811b17f0"
"func@0x45a1b0","0.00200482","0","","0.5","sysbench","func@0x45a1b0","[Unknown]","0x45a1b0"
"func@0x42e390","0.00200482","5200000","1.5","1.5","sysbench","func@0x42e390","[Unknown]","0x42e390"
"__wake_up_sync_key","0.00200482","0","","0.5","vmlinux","__wake_up_sync_key","[Unknown]","0xffffffff810c9a60"
"rebalance_domains","0.00200482","2600000","0","0","vmlinux","rebalance_domains","[Unknown]","0xffffffff810c0d80"
"raise_softirq","0.00200482","0","0","0","vmlinux","raise_softirq","[Unknown]","0xffffffff810879c0"
"func@0x428420","0.00200482","0","0","0","sysbench","func@0x428420","[Unknown]","0x428420"
"enter_lazy_tlb","0.00200482","0","0","0","vmlinux","enter_lazy_tlb","[Unknown]","0xffffffff81071ef0"
"propagate_entity_cfs_rq.isra.80","0.00200482","0","0","0","vmlinux","propagate_entity_cfs_rq.isra.80","[Unknown]","0xffffffff810b93f0"
"func@0x43b7c0","0.00200482","2600000","1","0.5","sysbench","func@0x43b7c0","[Unknown]","0x43b7c0"
"_nettle_sha256_compress","0.00200482","10400000","0.25","0.5","libnettle.so.6.2","_nettle_sha256_compress","[Unknown]","0x1a580"
"sysmalloc","0.00200482","0","","1","libc-2.23.so","sysmalloc","malloc.c","0x81250"
"func@0x4588b0","0.00200482","7800000","1","1.5","sysbench","func@0x4588b0","[Unknown]","0x4588b0"
"mpol_misplaced","0.00200482","0","","0.5","vmlinux","mpol_misplaced","[Unknown]","0xffffffff81225c10"
"task_numa_work","0.00200482","0","0","0","vmlinux","task_numa_work","[Unknown]","0xffffffff810b7c60"
"migrate_page_states","0.00200482","0","","0.5","vmlinux","migrate_page_states","[Unknown]","0xffffffff812343d0"
"func@0x42f7f0","0.00200482","0","0","0","sysbench","func@0x42f7f0","[Unknown]","0x42f7f0"
"func@0x473790","0.00200482","0","0","0","sysbench","func@0x473790","[Unknown]","0x473790"
"rcu_process_callbacks","0.00200482","0","0","0","vmlinux","rcu_process_callbacks","[Unknown]","0xffffffff810f51a0"
"func@0x5540","0.00200482","0","0","0","libm-2.23.so","func@0x5540","[Unknown]","0x5540"
"flush_tlb_func_remote","0.00200482","0","0","0","vmlinux","flush_tlb_func_remote","[Unknown]","0xffffffff81071ec0"
"do_page_add_anon_rmap","0.00200482","0","0","0","vmlinux","do_page_add_anon_rmap","[Unknown]","0xffffffff8120a410"
"__errno_location","0.00200482","0","","0.5","libpthread-2.23.so","__errno_location","errno-loc.c","0x12a40"
