Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1580        0        0   100.0%           16      18861
    1550        0        0   100.0%           16      18861
    1579        1        1    99.9%           16      18861
    1578        0        0   100.0%           16      18861
    1550        0        0   100.0%           16      18861
    1563        0        0   100.0%           16      18861
    1570        0        5   100.0%           16      18861
   32310        0     5452   100.0%           17      18865
   49907       47        0    99.9%           17      18865
   49484      105        0    99.8%           18      18865
   45493       67        1    99.9%           18      18865
    8335       45        0    99.5%           18      18865
    1556        0       12   100.0%           18      18865
    1536        0        0   100.0%           18      18865
    1538        0        0   100.0%           18      18865
    1540        0        7   100.0%           18      18865
    5736        0     3148   100.0%           18      18865
    1550        0        0   100.0%           18      18865
    1599        0        0   100.0%           18      18865
    1617        2       21    99.9%           18      18865
    3105       66        0    97.9%           18      18865
    2856       24        0    99.2%           18      18865
    3683        0      123   100.0%           18      18865
    4501        0      456   100.0%           18      18865
    1999        0        0   100.0%            3       8135
   21486     1610      343    93.0%            5        198

Ending tracing...
