Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
 2318260    58130    75377    97.6%            8       9875
 1044901    88037   151818    92.2%            8       8248
 1379823    66297   171103    95.4%            8       8591
 1696463    50923   183352    97.1%            9       9067
 1971858    42803   181595    97.9%            9       9504
 2135546    35680   155401    98.4%            9       9604
 2804217    42050    39890    98.5%            9       9903
 2900258    43170    40643    98.5%            9      10069
 2900106    40971    45621    98.6%            9      10406
 2862389    38408    37903    98.7%            9      10474
 2902797    36864    40790    98.7%            9      10804
 2945316    32321    49284    98.9%            9      10865
 2988761    35577    45837    98.8%            9      11191
 2931189    33519    39664    98.9%            9      11177
 2920471    29231    51884    99.0%            9      11141
 3043723    27701    45403    99.1%           10      11434
 2991558    29816    38282    99.0%           10      11400
 3062233    28386    43418    99.1%           10      11625
 3062566    25383    47486    99.2%           10      11792
 3111434    28333    41254    99.1%           10      11792
 3110979    25945    44459    99.2%           10      11854
 3052302    27750    44305    99.1%           10      12152
 3138801    22392    44488    99.3%           10      12119
 3107024    21199    46280    99.3%           10      12399
 3117707    20553    46064    99.3%           10      12677
 3107664    20231    46534    99.4%           10      12956
 3154995    17569    49956    99.4%           10      13225
 3099424    19720    44704    99.4%           10      13493
 3106255    19663    46246    99.4%           10      13767
 3093499    19484    44656    99.4%           10      14034
 3046227    19185    46205    99.4%           10      14304
 3118215    18417    46259    99.4%           10      14216
 3126233    18552    44107    99.4%           10      14481
 3208297    18880    48165    99.4%           10      14757
 3000295    27766    65238    99.1%           10      15083
 1606281    61267   132526    96.3%           11      13411
 1810623    36965   175620    98.0%           11      13814
 2188749    30377   156906    98.6%           11      13903
 2505289    25061   164796    99.0%           11      14309
 2767282    21798   181630    99.2%           11      14386
 2991120    20593    76925    99.3%           11      14560
 3145555    19845    41054    99.4%           11      14813
 3187534    19989    44430    99.4%           11      15081
 3220557    19326    45284    99.4%           12      15010
 3144095    18608    44643    99.4%           12      15273
 3178726    18685    45449    99.4%           12      15206
 3126377    17679    47295    99.4%           12      15473
 3186223    20169    42417    99.4%           12      15400
 3077140    19120    48822    99.4%           12      15297
 3256544    18400    46923    99.4%           12      15565
 3253013    19133    41539    99.4%           12      15811
 3222311    35847    46187    98.9%           12      15826
 3245926    45306    44426    98.6%           12      16190
 3204202    40342    43067    98.8%           12      16539
 3206406    45516    45441    98.6%           12      16896
 3205457    43696    43760    98.7%           12      17260
 3098329    46096    48235    98.5%           12      17227
 3254034    49976    43420    98.5%           12      17618
 3227360    39953    41852    98.8%           12      17949
 3265712    16642    43236    99.5%           12      18199
 3271739    16116    42880    99.5%           12      17143
 3018968    15837    39968    99.5%           13      17374
    4246        0        0   100.0%           13      17374
    3623        0     5239   100.0%           13      17374
    1621        0        0   100.0%           13      17374
    1604        0        0   100.0%           13      17374
    1614        0        0   100.0%           13      17374
    1642        0        0   100.0%           13      17374
    1609        0        0   100.0%           13      17374
    1579        0        0   100.0%           13      17374
    1605        1       33    99.9%           13      17374
    1606        0        0   100.0%           13      17374
    1607        0        0   100.0%           13      17374
    1593        0        0   100.0%           13      17374
    1595        0        0   100.0%           13      17374
    1494        2       87    99.9%           13      17374
    1606        0        0   100.0%           13      17374
   37784     1875        0    95.3%           15      17379
   46259       36        0    99.9%           15      17379
   44543      120        0    99.7%           16      17379
   47705      129       40    99.7%           16      17379
    7935        5        0    99.9%           16      17379
    5693        0     3017   100.0%           16      17379
    1620        0        0   100.0%           16      17379
    1592        0        0   100.0%           16      17379
    1584        0        0   100.0%           16      17379
    1604        0        0   100.0%           16      17379
    1607        0        0   100.0%           16      17379
    1606        0        0   100.0%           16      17379
    1604        2       33    99.9%           16      17379
    1611        0        2   100.0%           16      17379
    5681        0     3017   100.0%           16      17379
    1605        0        0   100.0%           16      17379
    1606        0        0   100.0%           16      17379
    1507        1       89    99.9%           16      17379
    1621        0        0   100.0%           16      17379
    1595        0        0   100.0%           16      17379
    1606        0        0   100.0%           16      17379
    1619        2       33    99.9%           16      17379
    1603        5        0    99.7%           16      17379
    1607        0        0   100.0%           16      17379
    5691        0     3017   100.0%           16      17379
    1592        0        0   100.0%           16      17379
    1573        0        0   100.0%           16      17379
    1609        0        0   100.0%           16      17379
    1607        0        0   100.0%           16      17379
    1605        0        0   100.0%           16      17379
    1610        0        0   100.0%           16      17379
    1601        0       36   100.0%           16      17380
    1580        0        0   100.0%           16      17380
    5697        0     3017   100.0%           16      17380
    1621        0        0   100.0%           16      17380
    1609        0        0   100.0%           16      17380
    1642        0        0   100.0%           16      17380
    1603        0        0   100.0%           16      17380
    1580        0        0   100.0%           16      17380
    1619        0        0   100.0%           16      17380
    1617        0       33   100.0%           16      17380
    1606        0        0   100.0%           16      17380
    5717        0     3018   100.0%           16      17380
    1642        0        0   100.0%           16      17380
    1606        0        0   100.0%           16      17380
    1622        0        0   100.0%           16      17380
    1611        0        0   100.0%           16      17380
    1643        0        0   100.0%           16      17380
    1588        0        0   100.0%           16      17380
    1604        0       32   100.0%           16      17380
    1580        0        0   100.0%           16      17380
    1577        0        0   100.0%           16      17380
    3678        0     5237   100.0%           16      17380
    1611        0        0   100.0%           16      17380
    1611        0        0   100.0%           16      17380
    1523        0       87   100.0%           16      17380
    1597        0        0   100.0%           16      17380
    1578        0        0   100.0%           16      17380
    1577        0        0   100.0%           16      17380
