PROC,LOAD,READSIZE,TIMESPFETCH,PRED,Elapsed,READAHEAD_TIME
1,16384,16777216,1,1,55.13,0.0
1,16384,16777216,2,0,55.52,0.0
1,16384,16777216,2,1,55.48,0.0
1,16384,16777216,4,0,59.07,0.0
1,16384,16777216,4,1,57.04,0.0
4,4096,4096,1,0,54.71,0.0
4,4096,4096,1,1,62.57,14.668005
4,4096,4096,2,0,57.28,0.0
4,4096,4096,2,1,59.95,13.440991
4,4096,4096,4,0,56.5,0.0
4,4096,4096,4,1,53.93,6.769971
4,4096,131072,1,0,45.63,0.0
4,4096,131072,1,1,38.98,0.327816
4,4096,131072,2,0,42.2,0.0
4,4096,131072,2,1,38.88,0.333507
4,4096,131072,4,0,41.24,0.0
4,4096,131072,4,1,37.12,0.362091
4,4096,524288,1,0,39.53,0.0
4,4096,524288,1,1,39.15,0.111927
4,4096,524288,2,0,37.63,0.0
4,4096,524288,2,1,40.45,0.115335
4,4096,524288,4,0,42.67,0.0
4,4096,524288,4,1,41.74,0.111585
4,4096,1048576,1,0,39.75,0.0
4,4096,1048576,1,1,35.26,0.001523
4,4096,1048576,2,0,36.96,0.0
4,4096,1048576,2,1,35.2,0.001446
4,4096,1048576,4,0,37.28,0.0
4,4096,1048576,4,1,39.52,0.001506
4,4096,4194304,1,0,34.82,0.0
4,4096,4194304,1,1,35.01,0.084283
4,4096,4194304,2,0,34.32,0.0
4,4096,4194304,2,1,34.86,0.082037
4,4096,4194304,4,0,37.41,0.0
4,4096,4194304,4,1,39.48,0.083799
4,4096,16777216,1,0,38.25,0.0
4,4096,16777216,1,1,34.61,0.009272
4,4096,16777216,2,0,38.09,0.0
4,4096,16777216,2,1,37.25,0.008755
4,4096,16777216,4,0,34.53,0.0
4,4096,16777216,4,1,37.03,0.007709
4,8192,4096,1,0,225.72,0.0
4,8192,4096,1,1,246.6,50.249021
4,8192,4096,2,0,230.8,0.0
4,8192,4096,2,1,239.92000000000002,41.06638
4,8192,4096,4,0,222.72,0.0
4,8192,4096,4,1,210.25,22.644895
4,8192,131072,1,0,159.5,0.0
4,8192,131072,1,1,152.22,25.275485
4,8192,131072,2,0,166.23,0.0
4,8192,131072,2,1,153.8,23.083059
4,8192,131072,4,0,160.03,0.0
4,8192,131072,4,1,151.76,15.362817
4,8192,524288,1,0,150.85,0.0
4,8192,524288,1,1,147.64,0.899418
4,8192,524288,2,0,158.5,0.0
4,8192,524288,2,1,146.41,0.972414
4,8192,524288,4,0,150.22,0.0
4,8192,524288,4,1,151.72,1.029943
4,8192,1048576,1,0,143.61,0.0
4,8192,1048576,1,1,149.09,0.717328
4,8192,1048576,2,0,149.34,0.0
4,8192,1048576,2,1,145.69,0.696561
4,8192,1048576,4,0,151.32999999999998,0.0
4,8192,1048576,4,1,151.38,0.708222
4,8192,4194304,1,0,143.34,0.0
4,8192,4194304,1,1,141.71,0.002672
4,8192,4194304,2,0,140.86,0.0
4,8192,4194304,2,1,142.89,0.002583
4,8192,4194304,4,0,150.53,0.0
4,8192,4194304,4,1,149.9,0.002648
4,8192,16777216,1,0,143.85,0.0
4,8192,16777216,1,1,145.38,0.066989
4,8192,16777216,2,0,143.81,0.0
4,8192,16777216,2,1,143.29,0.075467
4,8192,16777216,4,0,146.23,0.0
4,8192,16777216,4,1,143.5,0.06621
