Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
   77711    18994        0    80.4%           13       8064
   77685    18769       87    80.5%           13       8113
   78622    20677        0    79.2%           13       8164
   75500    19997        0    79.1%           13       8213
   15416    67603        0    18.6%           13       8332
   14230    70774       33    16.7%           13       8461
   26178    69818      180    27.3%           13       8594
   40029    71526      366    35.9%           15       8737
   36979    65512       32    36.1%           15       8867
   22581    60025     5247    27.3%           15       8991
 1061804   206795      119    83.7%           15       9781
 1186456       73        0   100.0%           15       9781
    1649        0        0   100.0%           15       9781
    1643        0        0   100.0%           15       9781
    2516     1391       33    64.4%           15       9783
  188751    48155        0    79.7%           15       9865
  210245    49304        0    81.0%           15       9953
  200872    49587        0    80.2%           15      10038
  218938    54038     3021    80.2%           15      10140
  260852    76169        0    77.4%           15      10265
  721099    71111        0    91.0%           15      10427
 1260618    32399        0    97.5%           15      10533
  415223      752        0    99.8%           15      10537
    1653        1       33    99.9%           15      10537
    1617        0        0   100.0%           15      10537
    1605        0        3   100.0%           15      10537
   32977      293      104    99.1%            3       8556

Ending tracing...
